Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]",GDP (current US$) [NY.GDP.MKTP.CD]
2017,YR2017,Lao PDR,LAO,6858160,16853079615.3519
2017,YR2017,Latvia,LVA,1940740,30264454641.8004
2017,YR2017,Lebanon,LBN,6082357,51844487742.0232
2017,YR2017,Lesotho,LSO,2233339,2639386291.42767
2017,YR2017,Liberia,LBR,4731906,2158000000
2017,YR2017,Libya,LBY,6374616,50984362478.4973
2017,YR2017,Liechtenstein,LIE,37922,..
2017,YR2017,Lithuania,LTU,2827721,47168303744.1329
2017,YR2017,Luxembourg,LUX,599449,62404461274.6636
2017,YR2017,"Macao SAR, China",MAC,622567,50361201096.4366
2017,YR2017,"Macedonia, FYR",MKD,2083160,11337827331.6809
2017,YR2017,Madagascar,MDG,25570895,11499803806.5729
2017,YR2017,Malawi,MWI,18622104,6303277590.80083
2017,YR2017,Malaysia,MYS,31624264,314500279043.81
2017,YR2017,Maldives,MDV,436330,4597083303.50693
2017,YR2017,Mali,MLI,18541980,15288163367.2602
2017,YR2017,Malta,MLT,465292,12537750732.4769
2017,YR2017,Marshall Islands,MHL,53127,199399247.08
2017,YR2017,Mauritania,MRT,4420184,5024705934.33687
2017,YR2017,Mauritius,MUS,1264613,13338147523.0124
2017,YR2017,Mexico,MEX,129163276,1149918794765.73
2017,YR2017,"Micronesia, Fed. Sts.",FSM,105544,336427532.88
2017,YR2017,Moldova,MDA,3549750,8128493432.07741
2017,YR2017,Monaco,MCO,38695,..
2017,YR2017,Mongolia,MNG,3075647,11488046881.0431
2017,YR2017,Montenegro,MNE,622471,4774086094.2078
2017,YR2017,Morocco,MAR,35739580,109139484007.429
2017,YR2017,Mozambique,MOZ,29668834,12333859926.277
2017,YR2017,Myanmar,MMR,53370609,69322122755.8536
2017,YR2017,Namibia,NAM,2533794,13244597345.4319
2017,YR2017,Nauru,NRU,13649,113884908.36413
2017,YR2017,Nepal,NPL,29304998,24472013233.8472
2017,YR2017,Netherlands,NLD,17132854,826200282501.127
2017,YR2017,New Caledonia,NCL,280460,..
2017,YR2017,New Zealand,NZL,4793900,205852838254.712
2017,YR2017,Nicaragua,NIC,6217581,13814261535.5434
2017,YR2017,Niger,NER,21477348,8119732792.52478
2017,YR2017,Nigeria,NGA,190886311,375770713742.763
2017,YR2017,Northern Mariana Islands,MNP,55144,..
2017,YR2017,Norway,NOR,5282223,398831956477.937
2017,YR2017,Oman,OMN,4636262,72642652795.8387
2017,YR2017,Pakistan,PAK,197015955,304951818494.066
2017,YR2017,Palau,PLW,21729,291544300
2017,YR2017,Panama,PAN,4098587,61838175800
2017,YR2017,Papua New Guinea,PNG,8251162,21088758484.7485
2017,YR2017,Paraguay,PRY,6811297,29734895248.9053
2017,YR2017,Peru,PER,32165485,211389272242.157
2017,YR2017,Philippines,PHL,104918090,313595208737.269
2017,YR2017,Poland,POL,37975841,524509565263.409
2017,YR2017,Portugal,PRT,10293718,217571083045.99
2017,YR2017,Puerto Rico,PRI,3337177,..
2017,YR2017,Qatar,QAT,2639211,167605219780.22
2017,YR2017,Romania,ROU,19586539,211803281924.738
2017,YR2017,Russian Federation,RUS,144495044,1577524145963.17
2017,YR2017,Rwanda,RWA,12208407,9136689514.09479
2017,YR2017,Samoa,WSM,196440,856626506.024096
2017,YR2017,San Marino,SMR,33400,1658778453.9103
2017,YR2017,Sao Tome and Principe,STP,204327,390871568.630082
2017,YR2017,Saudi Arabia,SAU,32938213,683827144288.536
2017,YR2017,Senegal,SEN,15850567,16374743753.4731
2017,YR2017,Serbia,SRB,7022268,41431648801.1663
2017,YR2017,Seychelles,SYC,95843,1485994387.49716
2017,YR2017,Sierra Leone,SLE,7557212,3774270392.41231
2017,YR2017,Singapore,SGP,5612253,323907234412.34
